id,name,location,start,end,ongoing,method,changedMethod,success,progress
241,Watusi,Rwanda,1961,1964,False,0,False,0,5
409,CNL,Democratic Republic of Congo,1964,1965,False,0,False,0,5
70,Dominican leftists,Dominican Republic,1965,1965,False,0,False,0,5
116,Katanga-led leftists,Democratic Republic of Congo,1960,1965,False,0,False,0,5
156,National Liberation Front (Viet Cong),South Vietnam,1958,1965,False,0,False,0,5
46,Buganda Tribe,Uganda,1966,1966,False,0,False,0,5
280,South Vietnam Anti-Military Govt,South Vietnam,1964,1966,False,1,False,0,5
79,"FLOSY, NLF in Aden",Yemen,1960,1967,False,0,True,1,4
142,NFDLM secessionists,Kenya,1964,1967,False,0,False,0,5
63,Cultural Revolution Red Guards,China,1966,1968,False,0,False,0,5
64,Czech Anti-Soviet Occupation,Czechoslovakia,1967,1968,False,1,False,0,5
171,Poland Anti-Communist I,Poland,1968,1968,False,1,False,0,5
247,Yugoslavia student protests,Yugoslavia,1968,1968,False,1,False,0,5
21,Anti-Khan,Pakistan,1968,1969,False,1,False,0,5
184,Royalists,Yemen Arab Republic,1962,1969,False,0,False,0,5
373,Second Balochistan Separatist Movement,Pakistan,1962,1969,False,0,False,0,5
42,Biafrans,Nigeria,1967,1970,False,0,False,0,5
165,Palestinian activists,Jordan,1970,1970,False,0,False,0,5
172,Poland Anti-Communist II,Poland,1970,1970,False,1,False,0,5
40,Bangla Independence Campaign,Pakistan,1971,1971,False,0,False,1,4
60,Croatian nationalists,Yugoslavia,1970,1971,False,1,False,0,5
108,JVP,Sri Lanka,1971,1971,False,0,False,0,5
148,Naxalite rebellion,India,1967,1971,False,0,False,0,5
271,Anti-Tsiranana Campaign,Madagascar,1972,1972,False,1,False,1,4
31,Anya Nya,Sudan,1962,1972,False,0,False,0,5
234,Tupamaros,Uruguay,1963,1972,False,0,False,0,5
81,First Hutu Rebellion,Burundi,1972,1973,False,0,False,0,5
170,Pinochet-led rebels,Chile,1973,1973,False,0,False,1,4
223,Thai student protests,Thailand,1973,1973,False,1,False,1,4
52,Carnation Revolution,Portugal,1973,1974,False,1,False,1,4
86,Front for the Liberation of Mozambique,Mozambique,1963,1974,False,0,True,1,4
89,Greece Anti-Military,Greece,1973,1974,False,1,False,1,4
160,PAIGC,Guinea-Bissau,1963,1974,False,0,False,1,4
176,Popular Movement for the Liberation of Angola,Angola,1961,1974,False,0,False,1,4
117,Khmer Rouge,Cambodia,1960,1975,False,0,False,1,4
122,Kurdish rebellion,Iraq,1961,1975,False,0,False,0,5
128,Lebanon leftists,Lebanon,1975,1975,False,0,False,0,5
167,Second Pathet Lao,Laos,1959,1975,False,0,False,1,4
173,Poland Worker uprising,Poland,1976,1976,False,1,False,1,4
175,Popular Front for the Liberation of Oman and the Arab Gulf (PFLOAG),Oman,1964,1976,False,0,False,0,5
277,Anti-Bhutto,Pakistan,1977,1977,False,1,False,1,4
267,Anti-Indira Campaign,India,1974,1977,False,1,False,1,4
254,Aruba Pro-Independence Campaign,Aruba,1977,1977,False,1,False,0,5
72,ERP/ Monteneros,Argentina,1973,1977,False,0,False,0,5
36,Third Balochistan Separatist Movement,Pakistan,1973,1977,False,0,False,0,5
4,Afghans,Afghanistan,1978,1978,False,0,False,1,4
276,Anti-Somoza Strikes,Nicaragua,1978,1978,False,1,False,0,5
78,FLNC,Democratic Republic of Congo,1977,1978,False,0,False,0,5
395,Hundred Day War ,Lebanon,1978,1978,False,0,False,1,4
22,Anti-Khmer Rouge,Cambodia,1978,1979,False,0,False,1,4
66,Democracy Movement,China,1976,1979,False,1,False,0,5
80,FSLN,Nicaragua,1978,1979,False,0,False,1,4
104,Iranian Revolution,Iran,1971,1979,False,1,True,1,4
250,Zimbabwe African People's Union,Zimbabwe,1974,1979,False,0,False,0,5
212,South Korea Anti-Junta,South Korea,1979,1980,False,1,False,0,5
120,Kosovo Albanian nationalist movement,Yugoslavia,1981,1981,False,1,False,0,5
221,Thai communist rebels,Thailand,1966,1981,False,0,False,0,5
43,Bolivian Anti-Junta,Bolivia,1976,1982,False,1,False,1,4
71,Druze resistance,Israel,1981,1982,False,1,False,0,5
103,Iranian Mujahideen,Iran,1981,1982,False,0,False,0,5
141,Muslim Brotherhood,Syria,1980,1982,False,0,False,0,5
389,NDF,Yemen (North Yemen),1979,1982,False,0,False,0,5
33,Argentina pro-democracy movement,Argentina,1977,1983,False,1,False,1,4
305,MFDC Secessionist Campaign (Casamance),Senegal,1982,1983,False,1,False,0,5
163,Pakistan Pro-Democracy Movement,Pakistan,1983,1983,False,1,False,0,5
207,Somali rebels (Ogaden),Ethiopia,1976,1983,False,0,False,0,5
307,Anti-Bouterse,Suriname,1983,1984,False,1,False,1,4
68,Diretas ja,Brazil,1983,1984,False,1,False,0,5
154,Nigerian Muslim fundamentalists,Nigeria,1980,1984,False,0,False,0,5
18,Anti-Jaafar,Sudan,1985,1985,False,1,False,1,4
289,Anti-Siles Zuazo,Bolivia,1984,1985,False,1,False,0,5
239,Uruguay Anti-Military,Uruguay,1984,1985,False,1,False,1,4
15,Anti-Duvalier,Haiti,1985,1986,False,1,False,1,4
278,Anti-Zia al-Haq,Pakistan,1986,1986,False,1,False,0,5
135,Mizo Revolt,India,1966,1986,False,0,False,0,5
145,National Resistance Army,Uganda,1981,1986,False,0,False,1,4
169,People Power,Philippines,1983,1986,False,1,False,1,4
215,Taiwan pro-democracy movement,Taiwan,1979,1986,False,1,False,0,5
245,Yemen leftists,Yemen People's Republic,1986,1986,False,0,False,0,5
253,Anti-Ceaucescu Movement,Romania,1987,1987,False,1,False,0,5
426,Anti-Coalition Government Campaign,Fiji,1987,1987,False,0,False,1,4
296,Anti-National Governing Council (CNG),Haiti,1986,1987,False,1,False,0,5
32,Argentina coup plot,Argentina,1987,1987,False,1,False,1,4
263,Indo-Fijian Anti-Coup Campaign,Fiji,1987,1987,False,1,False,0,5
161,PF-ZAPU guerillas,Zimbabwe,1982,1987,False,0,False,0,5
213,South Korea Anti-Military,South Korea,1987,1987,False,1,False,1,4
3,Afghan Resistance,Afghanistan,1979,1988,False,0,False,1,4
406,Myanmar Regime Change Campaign,Myanmar/Burma,1962,1988,False,0,False,0,5
188,SWAPO,Namibia,1960,1988,False,0,False,1,4
192,Second Hutu Rebellion,Burundi,1988,1988,False,0,False,0,5
11,Anti-Ceaucescu Rebels,Romania,1989,1989,False,0,False,1,4
24,Anti-Noriega,Panama,1987,1989,False,1,False,0,5
26,Anti-Pinochet Movement,Chile,1983,1989,False,1,False,1,4
75,East Germany pro-dem movement,East Germany,1989,1989,False,1,False,1,4
95,Hungary pro-dem movement,Hungary,1989,1989,False,1,False,1,4
206,Solidarity,Poland,1980,1989,False,1,False,1,4
226,Tiananmen,China,1989,1989,False,1,False,0,5
227,Tibetan Uprising,Tibet,1987,1989,False,1,False,0,5
240,Velvet Revolution,Czechoslovakia,1989,1989,False,1,False,1,4
14,Anti-Doe rebels,Liberia,1989,1990,False,0,False,1,4
37,Bangladesh Anti-Ershad,Bangladesh,1987,1990,False,1,False,1,4
41,Benin Anti-Communist,Benin,1989,1990,False,1,False,1,4
47,Bulgaria Anti-Communist,Bulgaria,1989,1990,False,1,False,1,4
57,Contras,Nicaragua,1980,1990,False,0,False,1,4
85,Frolinat,Chad,1966,1990,False,0,False,1,4
292,Ivorian Pro-Democracy,Cote d'Ivoire,1989,1990,False,1,False,1,4
138,Mongolian Anti-communist,Mongolia,1989,1990,False,1,False,1,4
393,Second JVP Insurrection,Sri Lanka,1987,1990,False,0,False,0,5
287,Students Union Protests,Ukraine,1990,1990,False,1,False,1,4
224,The Stir,Nepal,1990,1990,False,1,False,1,4
5,Albania Anti-Communist,Albania,1989,1991,False,1,False,1,4
7,Anti-Arap Moi,Kenya,1990,1991,False,1,False,1,4
285,Anti-Eyadema,Togo,1991,1991,False,1,False,0,5
38,Belarus Anti-Communist,Belarus,1988,1991,False,1,False,1,4
61,Croats,Yugoslavia,1991,1991,False,0,False,0,5
76,Eritrean-led rebels,Ethiopia,1974,1991,False,0,False,1,4
123,Kyrgyzstan Democratic Movement,Kyrgyzstan,1990,1991,False,1,False,1,4
127,Latvia pro-dem movement,Latvia,1989,1991,False,1,False,1,4
259,NCCOP Pro-Democracy Movement,Cameroon,1991,1991,False,1,False,0,5
185,Russia pro-dem movement,Russia,1990,1991,False,1,False,1,4
190,Sajudis/ Lithuanian pro-democracy movement/,Lithuania,1988,1991,False,1,False,1,4
200,Shiite rebellion,Iraq,1991,1991,False,0,False,0,5
202,Singing Revolution,Estonia,1987,1991,False,1,False,1,4
205,Slovenian Independence,Slovenia,1991,1991,False,0,False,1,4
208,Somalia clan factions (SNM),Somalia,1982,1991,False,0,False,1,4
229,Tigrean Self-Determination Campaign,Ethiopia,1978,1991,False,0,False,1,4
243,Western Sahara Freedom Movement (POLISARIO),Western Sahara,1975,1991,False,0,True,0,5
248,Zambia Anti-Single Party,Zambia,1990,1991,False,1,False,1,4
336,Anti-Roh Tae Woo,South Korea,1988,1992,False,1,False,0,5
69,Dniestr,Moldova,1992,1992,False,0,False,0,5
392,First Southern Ossetian Separatist Campaign,Georgia,1991,1992,False,0,False,0,5
132,Mali Anti-Military,Mali,1990,1992,False,1,False,1,4
387,Military Forces of Hugo Chavez,Venezuela,1992,1992,False,0,False,0,5
151,Niger Anti-Military,Niger,1991,1992,False,1,False,1,4
179,Public Against Violence,Slovakia,1989,1992,False,1,False,1,4
181,Renamo,Mozambique,1979,1992,False,0,False,0,5
191,Salvadoran Civil Conflict,El Salvador,1977,1992,False,0,True,1,4
222,Thai pro-dem movement,Thailand,1992,1992,False,1,False,1,4
236,Tutsi supremacists,Burundi,1991,1992,False,0,False,1,4
398,UPA,Uganda,1987,1992,False,0,False,0,5
1,Active Forces,Madagascar,1991,1993,False,1,False,1,4
8,Anti-Banda,Malawi,1992,1993,False,1,False,1,4
325,CCCN and Union Pro-Democracy Movement,Central African Republic,1990,1993,False,1,False,1,4
121,Kurdish Secession against Saddam,Iraq,1985,1993,False,0,False,0,5
399,Russian Parliamentary Forces,Russia,1993,1993,False,0,False,0,5
2,Afar insurgency,Djibouti,1991,1994,False,0,False,0,5
35,Armenians in Nagorno-Karabakh,Azerbaijan,1991,1994,False,0,False,0,5
412,Democratic Republic of Yemen Secessionist Movement,Yemen,1994,1994,False,0,False,0,5
329,Georgia-Abkhazia War,Georgia,1992,1994,False,0,False,0,5
168,Patriotic Front,Rwanda,1994,1994,False,0,False,1,4
201,Sikh insurgency,India,1984,1994,False,0,False,0,5
209,Somalia militia insurgencies,Somalia,1993,1994,False,0,False,1,4
211,South Africa Second Defiance Campaign,South Africa,1980,1994,False,1,True,1,4
235,Tutsi rebels,Rwanda,1990,1994,False,0,False,1,4
136,Mohajir,Pakistan,1994,1995,False,0,False,0,5
143,NPFL & ULIMO,Liberia,1992,1995,False,0,False,0,5
158,Ogoni movement,Nigeria,1990,1995,False,1,False,0,5
369,Republic of Western Bosnia,Bosnia-Herzegovina,1993,1995,False,0,False,0,5
189,Sacred Union,Democratic Republic of Congo,1991,1995,False,0,False,0,5
196,Serb militias,Bosnia-Herzegovina,1991,1995,False,0,False,0,5
391,Serbian Republic of Krajina,Croatia,1991,1995,False,0,False,0,5
220,Tauregs,Mali,1989,1995,False,0,False,0,5
111,KDPI,Iran,1979,1996,False,0,False,0,5
110,Kurdish civil conflict,Iraq,1996,1996,False,0,False,0,5
133,Leftist rebels (URNG),Guatemala,1961,1996,False,0,True,0,5
147,National Patriotic Forces,Liberia,1996,1996,False,0,False,0,5
388,SCIRI,Iraq,1989,1996,False,0,False,0,5
218,Taliban/ Anti-Government Forces,Afghanistan,1992,1996,False,0,False,1,4
396,"Anti-Lissouba Campaign (Cocoyes, Ninjas, Cobras)",Congo,1993,1997,False,0,False,1,4
49,CAR multiple factions,Central African Republic,1996,1997,False,0,False,0,5
112,Kabila-ADFL,Democratic Republic of Congo,1996,1997,False,0,False,1,4
174,Popular Democratic Army (UTO),Tajikistan,1992,1997,False,0,False,0,5
193,Second Khmer Rouge,Cambodia,1979,1997,False,0,False,0,5
198,Shanti Bahini,Bangladesh,1976,1997,False,0,False,0,5
233,Tupac Amaru Revolutionary Movement (MRTA) - Senderista Insurgency,Peru,1996,1997,False,0,False,0,5
29,Anti-Suharto,Indonesia,1996,1998,False,1,False,1,4
45,Bougainville Revolt,Papua New Guinea,1988,1998,False,0,True,0,5
54,Chad rebels,Chad,1994,1998,False,0,False,0,5
97,IRA,UK,1968,1998,False,0,True,0,5
152,Nigeria Anti-Military,Nigeria,1993,1998,False,1,False,1,4
268,Anti-Habibie Student Protests ,Indonesia,1999,1999,False,1,False,1,4
119,Kosovo Albanian,Yugoslavia,1989,1999,False,0,True,0,5
400,"Military Junta for the Consolidation of Democracy, Peace and Justice",Guinea-Bissau,1998,1999,False,0,False,1,4
230,Timorese Independence Campaign,East Timor,1975,1999,False,1,True,1,4
384,al-Gama'a al-Islamiyya,Egypt,1992,1999,False,0,False,0,5
